--------- beginning of main
03-21 16:28:52.478  1181  7026 E QSEECOMAPI: Error::Cannot open the file /vendor/firmware_mnt/image/widevine.mdt errno = 2
03-21 16:28:52.478  1181  7026 E QSEECOMAPI: Error::Loading image failed with ret = -1
03-21 16:28:52.509   793   807 E QC-time-services: Receive Passed == base = 13, unit = 1, operation = 2, result = 0
03-21 16:28:52.509  1086  1299 E QC-time-services: Daemon: Time-services: Waiting to acceptconnection
03-21 16:28:52.509  1086  1299 E QC-time-services: Daemon: Time-services: Waiting to acceptconnection
03-21 16:28:52.529  1181  7026 E QCOM-OEMCrypto: Error at trusted_app_is_keybox_or_oemcert_valid : 735
03-21 16:28:52.529  1181  7026 E QCOM-OEMCrypto: TA Result : 17 OEMCryptoResult : 10
03-21 16:28:52.529  1181  7026 E QCOM-OEMCrypto: 	 i_widevine_oemcrypto_is_keybox_or_oemcert_valid : 914
03-21 16:28:52.529  1181  7026 E QCOM-OEMCrypto: Error at _oecc05 : 637
03-21 16:28:52.537  1181  7026 E WVCdm   : [wv_content_decryption_module.cpp(389):GetMetrics] Cdm Identifier not found
03-21 16:28:52.538  1181  7026 E WVCdm   : [wv_content_decryption_module.cpp(449):CloseCdm] Cdm Identifier not found
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvl.execute(PG:3)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at bkvk.execute(PG:34)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvi.execute(PG:11)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvj.hl(PG:12)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvp.f(PG:98)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvp.l(PG:23)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvp.hl(PG:8)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at ppv.run(PG:81)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvv.e(PG:17)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvv.hl(PG:8)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at ppv.run(PG:214)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blva.run(PG:719)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at bkvi.run(PG:3)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at bkvj.run(PG:64)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at bktu.execute(PG:1)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvl.execute(PG:3)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at bkvk.execute(PG:34)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvi.execute(PG:11)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvj.hl(PG:12)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvp.f(PG:98)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvp.l(PG:23)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvp.hl(PG:8)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at ppv.run(PG:81)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvv.e(PG:17)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvv.hl(PG:8)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at ppv.run(PG:214)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blva.run(PG:719)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at bkvi.run(PG:3)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at bkvj.run(PG:64)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at bktu.execute(PG:1)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvl.execute(PG:3)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at bkvk.execute(PG:34)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvi.execute(PG:11)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvj.hl(PG:12)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvp.f(PG:98)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvp.l(PG:23)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvp.hl(PG:8)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at ppv.run(PG:81)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvv.e(PG:17)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvv.hl(PG:8)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at ppv.run(PG:214)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blva.run(PG:719)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at bkvi.run(PG:3)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at bkvj.run(PG:64)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at bktu.execute(PG:1)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvl.execute(PG:3)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at bkvk.execute(PG:34)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvi.execute(PG:11)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvj.hl(PG:12)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvp.f(PG:98)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvp.l(PG:23)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvp.hl(PG:8)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at ppv.run(PG:81)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvv.e(PG:17)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvv.hl(PG:8)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at ppv.run(PG:214)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blva.run(PG:719)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at bkvi.run(PG:3)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at bkvj.run(PG:64)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at bktu.execute(PG:1)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvl.execute(PG:3)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at bkvk.execute(PG:34)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvi.execute(PG:11)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvj.hl(PG:12)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvp.f(PG:98)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvp.l(PG:23)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvp.hl(PG:8)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at ppv.run(PG:81)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvv.e(PG:17)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blvv.hl(PG:8)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at ppv.run(PG:214)
03-21 16:28:56.859  1205  1205 E Finsky  : 	at blva.run(PG:719)
